Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar
41,00.002.329/0001-91,,FERRAGENS PINHEIRO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4744001: COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,,Sim
49,00.003.228/0001-35,,MOTO AGRICOLA SLAVIERO SA,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
50,00.003.228/0002-16,,MOTO AGRICOLA SLAVIERO SA,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
55,00.004.309/0001-50,,DF VEICULOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
94,00.009.282/0001-98,,CONSERVO BRASILIA SERVICOS TECNICOS LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8211300: SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,,Sim
118,00.013.631/0001-45,,ROYAL PNEUS EIRELI,Sim,,97012: BRASÍLIA,DF,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,2212900: REFORMA DE PNEUMÁTICOS USADOS,,Sim
119,00.013.698/0001-80,,TRIPS PASSAGENS E TURISMO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7911200: AGÊNCIAS DE VIAGENS,,Sim
120,00.013.805/0001-70,,INDUSPINA AUTO PECAS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4530703: COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,,Sim
127,00.014.449/0001-09,,NAME ADMINISTRACAO DE IMOVEIS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6810202: ALUGUEL DE IMÓVEIS PRÓPRIOS,,Sim
131,00.015.305/0001-77,,CASA SAO LUIZ FERRAGENS EIRELI,Sim,,97012: BRASÍLIA,DF,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,4789099: COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
138,00.016.576/0001-47,,BASEVI CONSTRUCOES S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4213800: OBRAS DE URBANIZAÇÃO - RUAS, PRAÇAS E CALÇADAS",,Sim
171,00.021.279/0001-90,,PIONEIRA DA BORRACHA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4713002: LOJAS DE VARIEDADES, EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES",,Sim
202,00.025.841/0001-53,,HOSPITAL SANTA LUCIA S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,8610102: ATIVIDADES DE ATENDIMENTO EM PRONTO-SOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGÊNCIAS,,Sim
223,00.027.896/0001-00,,ASSOCIACAO DE CULTURA FRANCO BRASILEIRA DE BRASILIA,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8593700: ENSINO DE IDIOMAS,,Sim
233,00.028.986/0006-12,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
293,00.031.195/0001-37,,ELETRICA ARAUJO COMERCIAL LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4742300: COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,,Sim
296,00.032.227/0001-19,,SANTA HELENA URBANIZACAO E OBRAS SA,Não,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,7820500: LOCAÇÃO DE MÃO-DE-OBRA TEMPORÁRIA,,Sim
300,00.033.241/0001-37,,VITRAL VIDROS PLANOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,2311700: FABRICAÇÃO DE VIDRO PLANO E DE SEGURANÇA,,Sim
302,00.033.613/0003-97,,SANTA IZABEL TRANSPORTES E TURISMO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4922102: TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, COM ITINERÁRIO FIXO, INTERESTADUAL",,Sim
318,00.038.174/0001-43,,FUNDACAO UNIVERSIDADE DE BRASILIA,Sim,,97012: BRASÍLIA,DF,38: FUNDAÇÃO PÚBLICA DE DIREITO PÚBLICO FEDERAL,2: null,,,8531700: EDUCAÇÃO SUPERIOR - GRADUAÇÃO,,Sim
321,00.038.620/0001-10,,VERTICAL CONSTRUCOES E MONTAGENS INDUSTRIAIS LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim
329,00.041.327/0001-01,,CURINGA EMPREENDIMENTOS IMOBILIARIOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6462000: HOLDINGS DE INSTITUIÇÕES NÃO-FINANCEIRAS,,Sim
347,00.041.327/0038-01,,CURINGA EMPREENDIMENTOS IMOBILIARIOS LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4530705: COMÉRCIO A VAREJO DE PNEUMÁTICOS E CÂMARAS-DE-AR,,Sim
361,00.043.471/0001-87,,CONSTRUTORA VILLELA E CARVALHO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4120400: CONSTRUÇÃO DE EDIFÍCIOS,,Sim
369,,***.465.821-**,NILSON GUILHERME CAMARA REBORDAO,Sim,,97012: BRASÍLIA,DF,,1: MICROEMPRESA,,,,,Sim
386,00.049.460/0001-04,,JAWA MAQUINAS E EQUIPAMENTOS PARA ESCRITORIOS EIRELI,Sim,,97012: BRASÍLIA,DF,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,8211300: SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,,Sim
389,00.049.791/0001-44,,HOSPITAL SANTA HELENA S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,8610102: ATIVIDADES DE ATENDIMENTO EM PRONTO-SOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGÊNCIAS,,Sim
395,00.051.722/0001-75,,CASA DO PAO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4721102: PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA,,Sim
449,00.059.857/0001-87,,CENTRO DE ENSINO UNIFICADO DE BRASILIA CEUB,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8531700: EDUCAÇÃO SUPERIOR - GRADUAÇÃO,,Sim
465,00.061.036/0001-85,,LIFE EMPREENDIMENTOS E SERVICOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"8111700: SERVIÇOS COMBINADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS",,Sim
475,00.061.742/0001-27,,STARTWARE INFORMATICA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6201501: DESENVOLVIMENTO DE PROGRAMAS DE COMPUTADOR SOB ENCOMENDA,,Sim
505,00.064.212/0001-32,,AUDIO MERCANTIL LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4753900: COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO,,Sim
542,00.068.841/0001-30,,CONBRAL S A CONSTRUTORA BRASILIA,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,4120400: CONSTRUÇÃO DE EDIFÍCIOS,,Sim
551,00.069.955/0001-03,,DIPLOMATA MOLDURAS E VIDROS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4743100: COMÉRCIO VAREJISTA DE VIDROS,,Sim
564,00.070.698/0001-11,,COMPANHIA ENERGETICA DE BRASILIA,Sim,,97012: BRASÍLIA,DF,9: SOCIEDADE DE ECONOMIA MISTA,2: null,,,3514000: DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,,Sim
585,00.072.447/0001-76,,TRANSPORTES GERAIS BOTAFOGO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4930202: TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",,Sim
642,00.076.570/0001-65,,PAI-PRONTO ATENDIMENTO INFANTIL LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8610102: ATIVIDADES DE ATENDIMENTO EM PRONTO-SOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGÊNCIAS,,Sim
646,00.077.255/0001-52,,CASA DE ISMAEL - LAR DA CRIANCA,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8800600: SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO,,Sim
647,00.077.362/0001-80,,DELTA ENGENHARIA INDUSTRIA E COMERCIO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4321500: INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,,Sim
663,00.078.220/0001-38,,CENTRO DE ENSINO UNIFICADO DO DISTRITO FEDERAL LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8533300: EDUCAÇÃO SUPERIOR - PÓS-GRADUAÇÃO E EXTENSÃO,,Sim
721,00.082.024/0001-37,,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,Sim,,97012: BRASÍLIA,DF,9: SOCIEDADE DE ECONOMIA MISTA,2: null,,,"3600601: CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA",,Sim
776,00.086.165/0001-28,,CONSTRUTORA ARTEC S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4222701: CONSTRUÇÃO DE REDES DE ABASTECIMENTO DE ÁGUA, COLETA DE ESGOTO E CONSTRUÇÕES CORRELATAS, EXCETO OBRAS DE IRRIGAÇÃO",,Sim
795,00.087.163/0001-53,,APECE SERVICOS GERAIS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7830200: FORNECIMENTO E GESTÃO DE RECURSOS HUMANOS PARA TERCEIROS,,Sim
936,00.097.626/0001-68,,BRASAL COMBUSTIVEIS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4731800: COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,,Sim
972,00.101.253/0001-51,,W L DE OLIVEIRA & CIA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4742300: COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,,Sim
1001,00.103.689/0001-80,,ASSOCIACAO BRASILEIRA DE RELACOES PUBLICAS (ABRP),Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,9412099: OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS,,Sim
1075,00.109.942/0001-02,,ASSOCIACAO DOS BIBLIOTECARIOS DO DISTRITO FEDERAL,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,9430800: ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,,Sim
1090,00.111.682/0001-00,,DISBREL DISTRIBUIDORA DE BALANCAS E REFRIGERACAO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4753900: COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO,,Sim
1091,00.111.682/0002-90,,DISBREL DISTRIBUIDORA DE BALANCAS E REFRIGERACAO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4665600: COMÉRCIO ATACADISTA DE MÁQUINAS E EQUIPAMENTOS PARA USO COMERCIAL; PARTES E PEÇAS,,Sim
1120,00.114.090/0001-41,,CONSELHO CULTURAL THOMAS JEFFERSON,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8593700: ENSINO DE IDIOMAS,,Sim
1131,00.114.868/0001-12,,CAMARA DE DIRIGENTES LOJISTAS DO DISTRITO FEDERAL,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,9430800: ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,,Sim
1144,00.116.137/0001-06,,"CITEL CONSTRUTORA, COMERCIO E SERVICOS GERAIS LTDA",Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4120400: CONSTRUÇÃO DE EDIFÍCIOS,,Sim
1173,00.117.242/0001-60,,CRB - CENTRO RADIOLOGICO DE BRASILIA S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"8640205: SERVIÇOS DE DIAGNÓSTICO POR IMAGEM COM USO DE RADIAÇÃO IONIZANTE, EXCETO TOMOGRAFIA",,Sim
1174,00.117.283/0001-56,,"ICB - CONSTRUTORA, INCORPORADORA E SERVICOS LTDA",Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4399199: SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
1192,00.118.802/0001-09,,ETIQUETA AUTO ADESIVA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"1822999: SERVIÇOS DE ACABAMENTOS GRÁFICOS, EXCETO ENCADERNAÇÃO E PLASTIFICAÇÃO",,Sim
1195,00.119.123/0001-46,,CORONARIO EDITORA GRAFICA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"1811302: IMPRESSÃO DE LIVROS, REVISTAS E OUTRAS PUBLICAÇÕES PERIÓDICAS",,Sim
1209,00.120.428/0001-78,,"PAPELARIA BRITO COMERCIO, IMPORTACAO E REPRESENTACAO LTDA",Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4647801: COMÉRCIO ATACADISTA DE ARTIGOS DE ESCRITÓRIO E DE PAPELARIA,,Sim
1250,00.124.456/0001-63,,DUO ARQUITETURA & DESIGN S/S LTDA,Não,,97012: BRASÍLIA,DF,18: SOCIEDADE SIMPLES PURA,2: null,,,7111100: SERVIÇOS DE ARQUITETURA,,Sim
1325,00.130.699/0001-04,,BRINDES INTELIGENTES - INDUSTRIA E COMERCIO DE BRINDES LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4781400: COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,,Sim
1396,00.137.061/0001-03,,ASSOCIACAO BRASILEIRA DE TREINAMENTO E TECNOLOGIA DO DF,Não,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8520100: ENSINO MÉDIO,,Sim
1520,00.148.726/0002-57,,"CESAR TRANSPORTES, GUINDASTES E EQUIPAMENTOS LTDA",Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4930202: TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",,Sim
1585,00.157.769/0005-41,,AUTONASA COMERCIO DE VEICULOS LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
1799,00.180.897/0001-82,,QUALITY PRODUCOES EIRELI,Sim,,97012: BRASÍLIA,DF,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,"8230001: SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",,Sim
1839,00.185.146/0001-59,,PROSPER - SOCIEDADE CIVIL DE PROFISSIONAIS ASSOCIADOS,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8800600: SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO,,Sim
1925,00.192.979/0001-47,,"P&W SOLUCAO BRASIL, INDUSTRIA E COMERCIO DE PRE-MOLDADOS LTDA",Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,2330304: FABRICAÇÃO DE CASAS PRÉ-MOLDADAS DE CONCRETO,,Sim
2176,00.218.213/0001-94,,CCI - COMERCIO E SERVICOS DE IMPRESSOES EIRELI,Sim,,97012: BRASÍLIA,DF,25: EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA (DE NATUREZA EMPRESÁRIA),2: null,,,4789007: COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO,,Sim
2275,00.233.883/0003-41,,INTERSYSTEMS DO BRASIL LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6203100: DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NÃO-CUSTOMIZÁVEIS,,Sim
2521,,***.586.448-**,ARMANDO ISMAIL OLLAIK,Sim,,97012: BRASÍLIA,DF,,1: MICROEMPRESA,,,,,Sim
2715,00.278.452/0002-10,,IDEMP - INSTITUTO DE DESENVOLVIMENTO EMPRESARIAL LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,8599604: TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,,Sim
2980,00.303.784/0001-27,,COMISSARIA AEREA BRASILIA LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,5611201: RESTAURANTES E SIMILARES,,Sim
2989,00.304.600/0001-43,,NAZA HOTEIS E TURISMO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,5510801: HOTÉIS,,Sim
3033,00.308.981/0001-39,,NACIONAL COMERCIO E INDUSTRIA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4789099: COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
3047,00.311.027/0001-03,,COMERCIAL MARTE DE MOVEIS LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4754701: COMÉRCIO VAREJISTA DE MÓVEIS,,Sim
3050,00.311.332/0001-97,,FONAL TELECOMUNICACOES LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,9521500: REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,,Sim
3060,00.312.312/0001-30,,COMITE NACIONAL DO CERIMONIAL PUBLICO - CNCP/BRASIL,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,9412099: OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS,,Sim
3076,00.313.809/0001-73,,SONDA GEOTECNIA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4391600: OBRAS DE FUNDAÇÕES,,Sim
3115,00.316.786/0001-50,,RRC- COMERCIO E SERVICOS LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,9521500: REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,,Sim
3136,,***.194.731-**,LUIZ LINS DE OLIVEIRA,Sim,,97012: BRASÍLIA,DF,,1: MICROEMPRESA,,,,,Sim
3146,00.320.523/0001-15,,ANTONIO VENANCIO DA SILVA EMPREENDIMENTOS IMOBILIARIOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6810202: ALUGUEL DE IMÓVEIS PRÓPRIOS,,Sim
3152,00.321.240/0001-98,,MOVEIS GERMAN IND E COM HOTEIS E TURISMO LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,3101200: FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA,,Sim
3195,00.324.939/0001-01,,BRISTOL ADMINISTRACAO DE IMOVEIS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,6810202: ALUGUEL DE IMÓVEIS PRÓPRIOS,,Sim
3292,00.331.801/0001-30,,UNIAO BRASILEIRA DE EDUCACAO CATOLICA,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8532500: EDUCAÇÃO SUPERIOR - GRADUAÇÃO E PÓS-GRADUAÇÃO,,Sim
3293,00.331.801/0004-82,,UNIAO BRASILEIRA DE EDUCACAO CATOLICA,Sim,,97012: BRASÍLIA,DF,23: ASSOCIAÇÃO PRIVADA,2: null,,,8532500: EDUCAÇÃO SUPERIOR - GRADUAÇÃO E PÓS-GRADUAÇÃO,,Sim
3310,00.332.833/0001-50,,"DINAMICA ADMINISTRACAO, SERVICOS E OBRAS LTDA",Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7830200: FORNECIMENTO E GESTÃO DE RECURSOS HUMANOS PARA TERCEIROS,,Sim
